salesOrder_hpSalesOrder,lineId,fromLine,customerLineId,lineStatus_code,hpPartNumber,hpPartDescription,customerPartNumber,quantity,quantityUnit,balanceQuantity,totalShippedQuantity,totalInvoicedQuantity,totalDeliveredQuantity,confirmedLineId,confirmedQuantity,confirmedReceiptDate,plannedReceiptDate,originalPlannedReceiptDate,salesPrice,salesPriceUnit,salesPriceCurrency,lineAmount,lineAmountCurrency,specialDealFlagSo,specialPriceIndicatorSo,specialPriceIndicatorPo,reasonForCancellation_code,carrierSo,otherCarrierSo,shippingPoint,storageLocation,termsOfDelivery,deliveryPlace,incotermsRevision,transitTime,endSupplier,gtsHold,hpPurchaseOrder,hpPoLineItem,soRequisitionNumber,soAckOutOrigin,soChangeInOrigin,customerNotesToHp,hpNotesToCustomer,hpBacklogNotes,simpleChangeProcessingInd,createdAt,createdBy,modifiedAt,modifiedBy
0102055329,000010,,000001,CONF,R60934-001,Intel Xeon W5-2455X Processor,HPM1-R60934-001,2000.000,EA,2000.000,0.000,0.000,0.000,000010,2000.000,2020-09-28,2020-09-28,2020-09-28,1240.000,1,USD,2480000.00,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,0,0260003194,false,9500334330,10,10019776,NONEDI,MANCUST,Note for SOCH014 test,US31 - US56 - USCO Cross Dock note,Backlog ref 0102055329-000010 reviewed 2020-09-30,false,2020-09-28T08:00:00Z,IDOC_ORDRSP,2020-09-30T11:22:05Z,IDOC_ORDRSP
0102055329,000020,,000002,INVD,L87523-001,Intel Ethernet Network Adapter I225-T1,HPM1-L87523-001,500.000,EA,0.000,500.000,500.000,500.000,000020,500.000,2020-09-28,2020-09-28,2020-09-28,18.000,10,USD,900.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,0,0260003194,false,9500334331,20,10019777,NONEDI,MANCUST,Note for SOCH014 test,US31 - US56 - USCO Cross Dock note,,false,2020-09-28T08:00:00Z,IDOC_ORDRSP,2020-09-30T11:22:05Z,IDOC_ORDRSP
0102055341,000010,,000001,OPEN,L87523-001,Intel Ethernet Network Adapter I225-T1,HPM1-L87523-001,500.000,EA,500.000,0.000,0.000,0.000,,,,2020-09-28,2020-09-29,18.000,10,USD,900.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,2,0260003195,false,9500334337,10,10019779,NONEDI,MANHP,,3700011101 SO Header text,Backlog ref 0102055341-000010 reviewed 2020-09-29,false,2020-09-29T06:30:00Z,IDOC_ORDRSP,2020-09-29T06:30:00Z,IDOC_ORDRSP
0102055341,000020,,000002,PSHP,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,600.000,400.000,0.000,400.000,000020,1000.000,2020-09-28,2020-09-28,2020-09-29,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,2,0260003195,false,9500334338,20,10019780,NONEDI,MANHP,,3700011101 SO Header text,,false,2020-09-29T06:30:00Z,IDOC_ORDRSP,2020-09-29T06:30:00Z,IDOC_ORDRSP
0102055571,000010,,000001,PSHP,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,600.000,400.000,0.000,400.000,000010,1000.000,2020-09-29,2020-09-29,2020-09-25,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,4,0260003196,false,9500334344,10,10019782,NONEDI,MANHP,,W-7000114 SO Header note,Backlog ref 0102055571-000010 reviewed 2020-10-08,false,2020-09-25T13:10:00Z,IDOC_ORDRSP,2020-10-08T09:44:31Z,IDOC_ORDRSP
0102055571,000020,,000002,SHIP,N22841-002,HP 16GB DDR5-4800 SODIMM Memory,CUST-N22841-002,250.000,EA,0.000,250.000,0.000,0.000,000020,250.000,2020-09-29,2020-09-29,2020-09-25,7.250,1,USD,1812.50,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,4,0260003196,false,9500334345,20,10019783,NONEDI,MANHP,,W-7000114 SO Header note,,false,2020-09-25T13:10:00Z,IDOC_ORDRSP,2020-10-08T09:44:31Z,IDOC_ORDRSP
0102056872,000010,,000001,SHIP,N22841-002,HP 16GB DDR5-4800 SODIMM Memory,CUST-N22841-002,250.000,EA,0.000,250.000,0.000,0.000,000010,250.000,2020-10-01,2020-10-01,2020-09-25,7.250,1,USD,1812.50,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,6,0260003197,false,9500334351,10,10019785,NONEDI,MANHP,,US31 - US55 - USCO header note,Backlog ref 0102056872-000010 reviewed 2020-10-12,false,2020-09-25T15:05:00Z,IDOC_ORDRSP,2020-10-12T16:18:59Z,IDOC_ORDRSP
0102056872,000020,,000002,DLVD,P39118-001,HP Z Turbo Drive Heatsink Kit,HPM1-P39118-001,1200.000,EA,0.000,1200.000,0.000,1200.000,000020,1200.000,2020-10-01,2020-10-01,2020-09-25,135.000,1,USD,162000.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,6,0260003197,false,9500334352,20,10019786,NONEDI,MANHP,,US31 - US55 - USCO header note,,false,2020-09-25T15:05:00Z,IDOC_ORDRSP,2020-10-12T16:18:59Z,IDOC_ORDRSP
0102057079,000010,,000001,DLVD,P39118-001,HP Z Turbo Drive Heatsink Kit,HPM1-P39118-001,1200.000,EA,0.000,1200.000,0.000,1200.000,000010,1200.000,2020-10-02,2020-10-02,2020-10-02,135.000,1,USD,162000.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,8,0260003198,false,9500334358,10,10019788,NONEDI,MANHP,,text,Backlog ref 0102057079-000010 reviewed 2020-10-20,false,2020-10-02T08:55:00Z,IDOC_ORDRSP,2020-10-20T10:02:44Z,IDOC_ORDRSP
0102057079,000020,,000002,INVD,Q45207-003,HP Thunderbolt 4 Dock G4 120W,CUST-Q45207-003,750.000,EA,0.000,750.000,750.000,750.000,000020,750.000,2020-10-02,2020-10-02,2020-10-02,89.900,1,USD,67425.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,8,0260003198,false,9500334359,20,10019789,NONEDI,MANHP,,text,,false,2020-10-02T08:55:00Z,IDOC_ORDRSP,2020-10-20T10:02:44Z,IDOC_ORDRSP
0102057135,000010,,000001,INVD,Q45207-003,HP Thunderbolt 4 Dock G4 120W,CUST-Q45207-003,750.000,EA,0.000,750.000,750.000,750.000,000010,750.000,2020-10-02,2020-10-02,2020-10-02,89.900,1,USD,67425.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,0,0260003194,false,9500334365,10,10019791,NONEDI,MUHP,,US31 - US55 - USCO header note,Backlog ref 0102057135-000010 reviewed 2020-10-28,false,2020-10-02T09:30:00Z,IDOC_ORDRSP,2020-10-28T12:51:03Z,IDOC_ORDRSP
0102057135,000020,,000002,CANC,R60934-001,Intel Xeon W5-2455X Processor,HPM1-R60934-001,2000.000,EA,2000.000,0.000,0.000,0.000,,,,2020-10-02,2020-10-02,1240.000,1,USD,2480000.00,USD,false,false,,ZJ,,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,0,0260003194,false,9500334366,20,10019792,NONEDI,MUHP,,US31 - US55 - USCO header note,,false,2020-10-02T09:30:00Z,IDOC_ORDRSP,2020-10-28T12:51:03Z,IDOC_ORDRSP
0102057412,000010,,000001,CANC,R60934-001,Intel Xeon W5-2455X Processor,HPM1-R60934-001,2000.000,EA,2000.000,0.000,0.000,0.000,,,,2020-10-05,2020-10-05,1240.000,1,USD,2480000.00,USD,false,false,,ZJ,,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,2,0260003195,false,9500334372,10,10019794,NONEDI,MANHP,,Cancelled at customer request,Backlog ref 0102057412-000010 reviewed 2020-10-09,false,2020-10-05T07:12:00Z,IDOC_ORDRSP,2020-10-09T15:36:20Z,cesar.gonzalez
0102057412,000020,,000002,CANC,L87523-001,Intel Ethernet Network Adapter I225-T1,HPM1-L87523-001,500.000,EA,500.000,0.000,0.000,0.000,,,,2020-10-05,2020-10-05,18.000,10,USD,900.00,USD,false,false,,ZG,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,2,0260003195,false,9500334373,20,10019795,NONEDI,MANHP,,Cancelled at customer request,,false,2020-10-05T07:12:00Z,IDOC_ORDRSP,2020-10-09T15:36:20Z,cesar.gonzalez
0102057688,000010,,000001,OPEN,L87523-001,Intel Ethernet Network Adapter I225-T1,HPM1-L87523-001,500.000,EA,500.000,0.000,0.000,0.000,,,,2020-10-06,2020-10-06,16.750,10,USD,837.50,USD,true,true,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,4,0260003196,false,9500334379,10,10019797,NONEDI,MANHP,Blanket release schedule,Price update in progress,Backlog ref 0102057688-000010 reviewed 2020-10-07,true,2020-10-06T10:41:00Z,IDOC_ORDRSP,2020-10-07T09:03:17Z,diana.lamas
0102057688,000020,,000002,CONF,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,1000.000,0.000,0.000,0.000,000020,1000.000,2020-10-06,2020-10-06,2020-10-06,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,4,0260003196,false,9500334380,20,10019798,NONEDI,MANHP,Blanket release schedule,Price update in progress,,false,2020-10-06T10:41:00Z,IDOC_ORDRSP,2020-10-07T09:03:17Z,diana.lamas
0102058004,000010,,000001,AACK,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,1000.000,0.000,0.000,0.000,,,,2020-10-07,2020-10-07,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,6,,false,9500334386,10,10019800,NONEDI,MANCUST,,,Backlog ref 0102058004-000010 reviewed 2020-10-07,false,2020-10-07T12:00:00Z,IDOC_ORDRSP,2020-10-07T12:00:00Z,IDOC_ORDRSP
